date,wl_anomaly,lake
2015-08-01,0.9428279569892766,Victoria
2015-09-01,0.7766666666666424,Victoria
2015-10-01,0.750892473118256,Victoria
2015-11-01,0.9510000000000218,Victoria
2015-12-01,1.2028279569892675,Victoria
2016-01-01,1.2979892473117616,Victoria
2016-02-01,1.255597701149327,Victoria
2016-03-01,1.1947634408602426,Victoria
2016-04-01,1.2486666666666224,Victoria
2016-05-01,1.347666666666555,Victoria
2016-06-01,1.3496666666667352,Victoria
2016-07-01,1.1789569892473537,Victoria
2016-08-01,1.1779892473118707,Victoria
2016-09-01,1.0950000000000273,Victoria
2016-10-01,0.9612150537634534,Victoria
2016-11-01,0.7873333333332084,Victoria
2016-12-01,0.7647634408601789,Victoria
2017-01-01,0.7186344086021563,Victoria
2017-02-01,0.6715952380952785,Victoria
2017-03-01,0.7399247311827821,Victoria
2017-04-01,0.7243333333333339,Victoria
2017-05-01,0.8292795698923783,Victoria
2017-06-01,0.7983333333331757,Victoria
2017-07-01,0.6644408602151088,Victoria
2017-08-01,0.5847634408601152,Victoria
2017-09-01,0.5936666666666497,Victoria
2017-10-01,0.6012150537633261,Victoria
2017-11-01,0.6513333333334685,Victoria
2017-12-01,0.6754086021505827,Victoria
2018-01-01,0.6537956989247959,Victoria
2018-02-01,0.5658809523808941,Victoria
2018-03-01,0.6241182795699842,Victoria
2018-04-01,0.8712666666665427,Victoria
2018-05-01,1.146698924731254,Victoria
2018-06-01,1.1813333333334413,Victoria
2018-07-01,1.0625053763440064,Victoria
2018-08-01,1.011537634408569,Victoria
2018-09-01,0.9410000000000309,Victoria
2018-10-01,0.8683118279570863,Victoria
2018-11-01,0.8606666666667024,Victoria
2018-12-01,0.897989247311898,Victoria
2019-01-01,0.9302473118279977,Victoria
2019-02-01,0.8723095238094629,Victoria
2019-03-01,0.8396021505375302,Victoria
2019-04-01,0.7999999999999545,Victoria
2019-05-01,0.8650860215052489,Victoria
2019-06-01,0.9610000000000127,Victoria
2019-07-01,0.9508924731183015,Victoria
2019-08-01,0.863150537634283,Victoria
2019-09-01,0.8489999999999327,Victoria
2019-10-01,0.9118602150538209,Victoria
2019-11-01,1.058333333333394,Victoria
2019-12-01,1.3608924731183834,Victoria
2014-01-01,0.7110659186536168,Rukwa
2014-02-01,0.8757375776398248,Rukwa
2014-03-01,0.9901250584385934,Rukwa
2014-04-01,1.3400804347826352,Rukwa
2014-05-01,1.3298723702665711,Rukwa
2014-06-01,1.1941304347826645,Rukwa
2014-07-01,1.0542917251052586,Rukwa
2014-08-01,0.9092917251052768,Rukwa
2014-09-01,0.7402971014493005,Rukwa
2014-10-01,0.6031626928471496,Rukwa
2014-11-01,0.4199637681159629,Rukwa
2014-12-01,0.47461430575037866,Rukwa
2015-01-01,0.5702594670407279,Rukwa
2015-02-01,0.6802018633541138,Rukwa
2015-03-01,0.808646563814932,Rukwa
2015-04-01,0.8624637681159584,Rukwa
2015-05-01,0.746388499298746,Rukwa
2015-06-01,0.7442971014493196,Rukwa
